case,mode,bearing_deg,distance_m_perceived,distance_world,rms_l,rms_r,rms_total,level_db,balance
null_control,pan,90,1.5,20.625,0.17677669,0.17677669,0.25,-12.041,0
null_control,pan,105,1.5,20.625,0.17677669,0.17677669,0.25,-12.041,0
null_control,pan,120,1.5,20.625,0.17677669,0.17677669,0.25,-12.041,0
null_control,pan,135,1.5,20.625,0.17677669,0.17677669,0.25,-12.041,0
null_control,pan,150,1.5,20.625,0.17677669,0.17677669,0.25,-12.041,0
null_control,pan,165,1.5,20.625,0.17677669,0.17677669,0.25,-12.041,0
null_control,pan,180,1.5,20.625,0.17677669,0.17677669,0.25,-12.041,0
null_control,pan,195,1.5,20.625,0.17677669,0.17677669,0.25,-12.041,0
null_control,pan,210,1.5,20.625,0.17677669,0.17677669,0.25,-12.041,0
null_control,pan,225,1.5,20.625,0.17677669,0.17677669,0.25,-12.041,0
null_control,pan,240,1.5,20.625,0.17677669,0.17677669,0.25,-12.041,0
null_control,pan,255,1.5,20.625,0.17677669,0.17677669,0.25,-12.041,0
null_control,pan,270,1.5,20.625,0.17677669,0.17677669,0.25,-12.041,0
null_control,pan,285,1.5,20.625,0.17677669,0.17677669,0.25,-12.041,0
null_control,pan,300,1.5,20.625,0.17677669,0.17677669,0.25,-12.041,0
null_control,pan,315,1.5,20.625,0.17677669,0.17677669,0.25,-12.041,0
null_control,pan,330,1.5,20.625,0.17677669,0.17677669,0.25,-12.041,0
null_control,pan,345,1.5,20.625,0.17677669,0.17677669,0.25,-12.041,0
null_control,rolloff,0,0.25,3.4375,0.17677669,0.17677669,0.25,-12.041,0
null_control,rolloff,0,0.5,6.875,0.17677669,0.17677669,0.25,-12.041,0
null_control,rolloff,0,1,13.75,0.17677669,0.17677669,0.25,-12.041,0
null_control,rolloff,0,1.5,20.625,0.17677669,0.17677669,0.25,-12.041,0
null_control,rolloff,0,2,27.5,0.17677669,0.17677669,0.25,-12.041,0
null_control,rolloff,0,2.5,34.375,0.17677669,0.17677669,0.25,-12.041,0
null_control,rolloff,0,3,41.25,0.17677669,0.17677669,0.25,-12.041,0
null_control,rolloff,0,4,55,0.17677669,0.17677669,0.25,-12.041,0
null_control,rolloff,0,5,68.75,0.17677669,0.17677669,0.25,-12.041,0
null_control,rolloff,0,6,82.5,0.17677669,0.17677669,0.25,-12.041,0
null_control,rolloff,0,8,110,0.17677669,0.17677669,0.25,-12.041,0
null_control,rolloff,0,10,137.5,0.17677669,0.17677669,0.25,-12.041,0
null_control,rolloff,0,12,165,0.17677669,0.17677669,0.25,-12.041,0
null_control,rolloff,0,14,192.5,0.17677669,0.17677669,0.25,-12.041,0
null_control,rolloff,0,16,220,0.17677669,0.17677669,0.25,-12.041,0
